DUD,CHEMBL1087078,C#CCOc3nc(c1ccccc1)nc4sc2CCCc2c34
DUD,CHEMBL610435,OC[C@H]3OC(n1cnc2c(NCCS(O)(=O)=O)ncnc12)[C@H](O)[C@@H]3O
DUD,CHEMBL605065,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#Cc1ccc(CCC(O)=O)cc1)nc23)[C@H](O)[C@@H]4O
DUD,CHEMBL1093479,Ic5cccc(n1c(=S)sc3c1ncn4nc(c2ccco2)nc34)c5
DUD,CHEMBL1092271,C=CCn1c(=S)sc3c1ncn4nc(c2ccco2)nc34
DUD,CHEMBL336608,CCNC(=O)[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(NCCc3c[nH]cn3)nc45)[C@H](O)[C@@H]6O
DUD,CHEMBL136689,COc5ccc(CCCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5
DUD,CHEMBL130830,CCNC(=O)[C@H]4O[C@@H](n2cnc3c(N)nc(N[C@@H]1CCC[C@H]1O)nc23)[C@H](O)[C@@H]4O
DUD,CHEMBL1095999,Nc4nc(c1ccco1)c3c(=O)c2ccccc2c3n4
DUD,CHEMBL369573,Nc4nc(c1ccccc1)c3c(=O)c2ccccc2c3n4
DUD,CHEMBL113142,Nc3nc(NCCc1ccc(O)cc1)nc4nc(c2ccco2)nn34
DUD,CHEMBL245848,COc6ccc(N5CCN(CCn1cnc3c1nc(N)n4nc(c2ccco2)nc34)CC5)cc6
DUD,CHEMBL22202,Nc4nc2n(CCc1ccc(N(CCO)CCO)cc1)ncc2c5nc(c3ccco3)nn45
DUD,CHEMBL16687,Nc3nc1ccc(Cl)cc1c4nc(c2ccco2)nn34
DUD,CHEMBL131457,CCNC(=O)[C@H]6O[C@@H](n4cnc5c(NCC(c1ccccc1)c2ccccc2)nc(N[C@@H]3CCC[C@H]3O)nc45)[C@H](O)[C@@H]6O
DUD,CHEMBL423542,Nc4nc2nn(CCCc1ccccc1)cc2c5nc(c3ccco3)nn45
DUD,CHEMBL281811,Cn2c(C1CCCCC1)nc3n(C)c(=O)n(C)c(=O)c23
DUD,CHEMBL282888,Nc5nc3n(CCCc2ccc1OC(CO)(CO)Oc1c2)ncc3c6nc(c4ccco4)nn56
DUD,CHEMBL487569,COc3cc(OC)cc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)c3
DUD,CHEMBL605668,Cc4ccc(CCOc3nc(N)c2ncn(C1O[C@@H](CO)[C@H](O)[C@@H]1O)c2n3)cc4
DUD,CHEMBL429125,COc1cc(CN(C)C)ccc1OCC(=O)Nc4cc(n2nc(C)cc2C)nc(c3ccc(C)o3)n4
DUD,CHEMBL255739,CN(C)Cc4ccc(CC(=O)Nc3cc(n1nc(C)cc1C)nc(c2ccc(C)o2)n3)cc4
DUD,CHEMBL373700,Nc5nc(N3CCN2C[C@@H](COc1cccc(F)c1)CC[C@H]2C3)nc6nc(c4ccco4)nn56
DUD,CHEMBL327708,CCCn4c(=O)n(CCCOC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCC2)nc3c4=O
DUD,CHEMBL609256,Nc3nc(N/N=C/C1CCCCC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34
DUD,CHEMBL485765,CC(=O)Nc4cc(c2cccc(N1CCCC1)n2)nc(n3nc(C)cc3C)n4
DUD,CHEMBL144360,CCCn4c(=O)n(CCCNC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCCC2)nc3c4=O
DUD,CHEMBL470942,Nc5nc(N(CCN2CCN(c1ccc(F)cc1F)CC2)CC3CC3)cc6nc(c4ccco4)nn56
DUD,CHEMBL480542,CN(CCN2CCN(c1ccc(F)cc1F)CC2)c5cc4nc(c3cnco3)nn4c(N)n5
DUD,CHEMBL480570,CN(CCN2CCN(c1ccc(F)cc1F)CC2)c5cc4nc(c3nccnc3C)nn4c(N)n5
DUD,CHEMBL222868,Nc5nc(NC[C@@H]3CC[C@@H]2CN(c1ncccn1)CCN2C3)nc6nc(c4ccco4)nn56
DUD,CHEMBL373560,Nc5nc(N3CCN2C[C@@H](Cn1ccnc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56
DUD,CHEMBL222784,Nc5nc(N3CCN2C[C@@H](COc1cccnc1)CC[C@H]2C3)nc6nc(c4ccco4)nn56
DUD,CHEMBL16867,Nc4nc2nn(CCc1ccccc1)cc2c5nc(c3ccco3)nn45
DUD,CHEMBL611607,Nc3nc(N/N=C/C1CCC=CC1)nc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34
DUD,CHEMBL321218,CCCn4c(=O)n(CCCNC(=O)c1ccc(S(F)(=O)=O)cc1)c3[nH]c(C2CCCC2)nc3c4=O
DUD,CHEMBL354419,Nc4nc(c2cccc(N1CCC(=O)CC1)c2)cc5nc(c3ccco3)nn45
DUD,CHEMBL393410,COCCOc6ccc(N5CCN(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)CC5)c(F)c6
DUD,CHEMBL186113,CCn5nnc([C@H]4O[C@@H](n2cnc3c(N)nc(N[C@H](CO)Cc1ccccc1)nc23)[C@H](O)[C@@H]4O)n5
DUD,CHEMBL487553,COC4CCN(c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3)CC4
DUD,CHEMBL487554,COC4CN(c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3)C4
DUD,CHEMBL611583,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(CC1CCC(CO)CC1)nc23)[C@H](O)[C@@H]4O
DUD,CHEMBL1086847,Nc4nc(c1nccs1)c3c(=O)c2ccccc2c3n4
DUD,CHEMBL179265,Nc5nc(c3cccc(N1CCC2(CC1)OCCO2)c3)cc6nc(c4ccco4)nn56
DUD,CHEMBL176144,CCCCOC(=O)N5CCN(c4cccc(c3cc2nc(c1ccco1)nn2c(N)n3)c4)CC5
DUD,CHEMBL175476,Nc5nc(c3cccc(N2CCN(C(=O)CN1CCOCC1)CC2)c3)cc6nc(c4ccco4)nn56
DUD,CHEMBL256332,Cc5cc(C)n(c4cc(NC(=O)COc2cc(F)cc(CN1CCCC1)c2)nc(c3ccc(C)o3)n4)n5
DUD,CHEMBL521438,COc6ccc(c5ccc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5)cc6
DUD,CHEMBL514939,COCCN(CCN2CCN(c1ccc(F)cc1F)CC2)c5cc4nc(c3ccco3)nn4c(N)n5
DUD,CHEMBL605878,Nc4nc(OCCc2ccc1ccccc1c2)nc5n(C3O[C@@H](CO)[C@H](O)[C@@H]3O)cnc45
DUD,CHEMBL401321,CC(=O)Nc3cc(n1cccn1)nc(c2ccco2)n3
DUD,CHEMBL1086846,Nc4nc(c1cccs1)c3c(=O)c2ccccc2c3n4
DUD,CHEMBL190,Cn2c(=O)n(C)c1nc[nH]c1c2=O
DUD,CHEMBL240847,Nc6nc4n(CCN3CCN(c2ccc(OCCOC1CC1)cc2)CC3)ncc4c7nc(c5ccco5)nn67
DUD,CHEMBL519111,Cc6ccc(c5ccc(CCn1ncc3c1nc(N)n4nc(c2ccco2)nc34)cc5)cn6
DUD,CHEMBL603781,CCNC(=O)[C@H]4OC(n2cnc3c(N)nc(C#CC1(O)CCCC1)nc23)[C@H](O)[C@@H]4O
DUD,CHEMBL86605,CC(Cc1ccccc1)Nc3ncnc4n(C2O[C@H](CO)[C@@H](O)[C@H]2O)cnc34
DUD,CHEMBL374881,Nc6nc(N4CCN3C[C@@H](COc2ccc1ncccc1c2)CC[C@H]3C4)nc7nc(c5ccco5)nn67
DUD,CHEMBL487572,CN(C)c3cccc(c2cc(NC(C)=O)nc(n1nc(C)cc1C)n2)n3
DUD,CHEMBL77691,CCn3c(=O)n(CC)c2nc(/C=C/c1ccc(OC)c(C)c1OC)n(C)c2c3=O
